,sheet,fte,nj,after,njafter,dfte
0,1,31.0,1.0,0.0,0.0,
1,1,40.0,1.0,1.0,1.0,9.0
2,2,13.0,1.0,0.0,0.0,
3,2,12.5,1.0,1.0,1.0,-0.5
4,3,12.5,1.0,0.0,0.0,
5,3,7.5,1.0,1.0,1.0,-5.0
6,4,16.0,1.0,0.0,0.0,
7,4,20.0,1.0,1.0,1.0,4.0
8,5,20.0,1.0,0.0,0.0,
9,5,25.0,1.0,1.0,1.0,5.0
10,6,3.0,1.0,0.0,0.0,
11,6,6.0,1.0,1.0,1.0,3.0
12,9,32.0,1.0,0.0,0.0,
13,9,16.0,1.0,1.0,1.0,-16.0
14,10,25.0,1.0,0.0,0.0,
15,10,22.5,1.0,1.0,1.0,-2.5
16,11,25.0,1.0,0.0,0.0,
17,11,24.0,1.0,1.0,1.0,-1.0
18,12,18.25,1.0,0.0,0.0,
19,12,22.5,1.0,1.0,1.0,4.25
20,13,12.5,1.0,0.0,0.0,
21,13,7.5,1.0,1.0,1.0,-5.0
22,14,14.0,1.0,0.0,0.0,
23,14,12.5,1.0,1.0,1.0,-1.5
24,15,15.5,1.0,0.0,0.0,
25,15,15.0,1.0,1.0,1.0,-0.5
26,16,17.0,1.0,0.0,0.0,
27,16,15.5,1.0,1.0,1.0,-1.5
28,17,10.0,1.0,0.0,0.0,
29,17,21.5,1.0,1.0,1.0,11.5
30,18,27.5,1.0,0.0,0.0,
31,18,27.0,1.0,1.0,1.0,-0.5
32,19,19.5,1.0,0.0,0.0,
33,19,28.0,1.0,1.0,1.0,8.5
34,21,11.0,1.0,0.0,0.0,
35,21,5.5,1.0,1.0,1.0,-5.5
36,22,10.5,1.0,0.0,0.0,
37,22,10.5,1.0,1.0,1.0,0.0
38,23,12.5,1.0,0.0,0.0,
39,23,21.0,1.0,1.0,1.0,8.5
40,24,22.5,1.0,0.0,0.0,
41,24,25.0,1.0,1.0,1.0,2.5
42,26,37.5,1.0,0.0,0.0,
43,26,20.0,1.0,1.0,1.0,-17.5
44,27,9.0,1.0,0.0,0.0,
45,27,3.5,1.0,1.0,1.0,-5.5
46,29,3.5,1.0,0.0,0.0,
47,29,6.5,1.0,1.0,1.0,3.0
48,30,8.0,1.0,0.0,0.0,
49,30,5.5,1.0,1.0,1.0,-2.5
50,31,12.0,1.0,0.0,0.0,
51,31,13.5,1.0,1.0,1.0,1.5
52,32,20.25,1.0,0.0,0.0,
53,32,14.5,1.0,1.0,1.0,-5.75
54,33,22.0,1.0,0.0,0.0,
55,33,11.5,1.0,1.0,1.0,-10.5
56,34,12.5,1.0,0.0,0.0,
57,34,14.5,1.0,1.0,1.0,2.0
