Country,Latte Price,Exchange Rate,PPP Exchange Rate (USD),Currency Valuation
australia,6.88,1.59,1.4700854700854702,Undervalued
brazil,16.86,5.77,3.6025641025641026,Undervalued
canada,4.88,1.43,1.0427350427350428,Undervalued
chile,11684.62,961.58,2496.7136752136757,Overvalued
colombia,14062.5,4140.44,3004.8076923076924,Undervalued
czech republic,165.0,24.21,35.256410256410255,Overvalued
finland,6.2,0.96,1.324786324786325,Overvalued
hungary,2190.0,388.66,467.94871794871796,Overvalued
italy,1.5,0.96,0.32051282051282054,Undervalued
mexico,92.41,20.54,19.745726495726498,Undervalued
poland,10.9,4.03,2.3290598290598292,Undervalued
south africa,48.0,18.5,10.256410256410257,Undervalued
united kingdom,3.36,0.8,0.717948717948718,Undervalued
united states,4.68,1.0,1.0,Neutral
