Year,RGDP,GDP Deflator
1929,1191124.0,8.778
1930,1089785.0,8.457
1931,1019977.0,7.587
1932,888414.0,6.7
1933,877431.0,6.514
1934,972263.0,6.871
1935,1058836.0,7.012
1936,1195251.0,7.097
1937,1256503.0,7.402
1938,1214869.0,7.19
1939,1312365.0,7.12
1940,1428075.0,7.205
1941,1681049.0,7.692
1942,1998542.0,8.304
1943,2338761.0,8.683
1944,2524752.0,8.89
1945,2500057.0,9.12
1946,2209911.0,10.296
1947,2184614.0,11.426
1948,2274627.0,12.067
1949,2261928.0,12.046
1950,2458532.0,12.195
1951,2656320.0,13.06
1952,2764803.0,13.286
1953,2894411.0,13.447
1954,2877708.0,13.572
1955,3083026.0,13.801
1956,3148765.0,14.271
1957,3215065.0,14.744
1958,3191216.0,15.08
1959,3412421.0,15.287
1960,3500272.0,15.495
1961,3590066.0,15.66
1962,3810124.0,15.85
1963,3976142.0,16.032
1964,4205277.0,16.276
1965,4478555.0,16.574
1966,4773931.0,17.039
1967,4904864.0,17.533
1968,5145914.0,18.28
1969,5306594.0,19.176
1970,5316391.0,20.189
1971,5491445.0,21.212
1972,5780048.0,22.13
1973,6106371.0,23.342
1974,6073363.0,25.443
1975,6060875.0,27.8
1976,6387437.0,29.33
1977,6682804.0,31.152
1978,7052711.0,33.343
1979,7275999.0,36.11
1980,7257316.0,39.371
1981,7441485.0,43.097
1982,7307314.0,45.759
1983,7642266.0,47.552
1984,8195295.0,49.267
1985,8537004.0,50.826
1986,8832611.0,51.849
1987,9137745.0,53.134
1988,9519427.0,55.008
1989,9869003.0,57.165
1990,10055129.0,59.305
1991,10044238.0,61.31
1992,10398046.0,62.707
1993,10684179.0,64.194
1994,11114647.0,65.564
1995,11413012.0,66.939
1996,11843599.0,68.164
1997,12370299.0,69.34
1998,12924876.0,70.119
1999,13543774.0,71.111
2000,14096033.0,72.722
2001,14230726.0,74.36
2002,14472712.0,75.515
2003,14877312.0,77.006
2004,15449757.0,79.077
2005,15987957.0,81.556
2006,16433148.0,84.071
2007,16762445.0,86.349
2008,16781485.0,88.013
2009,16349110.0,88.556
2010,16789750.0,89.632
2011,17052410.0,91.481
2012,17442759.0,93.185
2013,17812167.0,94.771
2014,18261714.0,96.421
2015,18799622.0,97.316
2016,19141672.0,98.241
2017,19612102.0,100.0
2018,20193896.0,102.291
2019,20715671.0,103.979
2020,20267585.0,105.361
2021,21494798.0,110.172
2022,22034828.0,118.026
2023,22671096.0,122.273
2024,23302163.0,125.22
